ФИО,ГодРождения,ГодСмерти,ЧислоДетей
Волков Юрий Николаевич,1857,1922,8
Новиков Артем Алексеевич,1816,1931,9
Новиков Юрий Юрьевич,1896,2018,14
Кузнецов Дмитрий Алексеевич,1934,1986,10
Новиков Юрий Петрович,1882,2015,9
Кузнецов Петр Дмитриевич,1821,1904,0
Новиков Иван Николаевич,1857,1956,9
Иванов Владимир Васильевич,1841,1984,0
Попов Сергей Федорович,1821,1938,12
Смирнов Никита Алексеевич,1817,1875,1
Волков Артем Алексеевич,1806,1852,12
Попов Никита Алексеевич,1831,1898,12
Смирнов Юрий Васильевич,1842,1955,12
Попов Дмитрий Юрьевич,1805,1850,5
Сидоров Владимир Николаевич,1865,1987,3
Попов Владимир Дмитриевич,1820,1846,4
Сидоров Никита Петрович,1959,1987,0
Петров Никита Сергеевич,1837,1954,0
Сидоров Иван Федорович,1916,1995,12
Смирнов Иван Васильевич,1848,1893,9
Иванов Андрей Васильевич,1874,1892,11
Кузнецов Алексей Николаевич,1888,2021,4
Кузнецов Алексей Дмитриевич,1853,1999,9
Петров Дмитрий Юрьевич,1806,1895,8
Иванов Артем Петрович,1885,1953,11
Лебедев Иван Андреевич,1911,2013,8
Новиков Артем Федорович,1901,1935,2
Петров Сергей Николаевич,1903,1980,7
Фролов Юрий Федорович,1857,1978,1
Новиков Никита Николаевич,1825,1845,5
Смирнов Алексей Николаевич,1838,1889,3
Новиков Дмитрий Николаевич,1917,1968,9
Фролов Алексей Юрьевич,1868,1914,0
Фролов Алексей Юрьевич,1805,2014,2
Иванов Иван Юрьевич,1918,2011,13
Попов Владимир Сергеевич,1826,1973,11
Иванов Сергей Алексеевич,1800,1959,2
Сидоров Юрий Сергеевич,1812,1901,14
Кузнецов Артем Алексеевич,1823,1945,5
Смирнов Иван Юрьевич,1820,1886,1
Смирнов Иван Юрьевич,1839,1979,2
Новиков Андрей Петрович,1820,1876,4
Кузнецов Юрий Алексеевич,1901,1960,14
Сидоров Сергей Андреевич,1885,1956,7
Лебедев Алексей Петрович,1928,1970,6
Петров Петр Алексеевич,1907,1974,7
Лебедев Алексей Петрович,1999,2003,0
Иванов Артем Сергеевич,1945,1980,12
Фролов Артем Сергеевич,1967,2010,14
Кузнецов Сергей Сергеевич,1920,1969,8
Иванов Андрей Васильевич,1871,1927,1
Сидоров Андрей Васильевич,1975,2007,13
Иванов Дмитрий Васильевич,1810,1830,3
Смирнов Сергей Сергеевич,1951,1977,3
Петров Петр Васильевич,1855,1928,4
Петров Сергей Федорович,1845,1950,11
Попов Никита Сергеевич,1823,1896,14
Лебедев Алексей Васильевич,1856,1897,5
Кузнецов Дмитрий Николаевич,1918,1955,13
Смирнов Дмитрий Юрьевич,1811,1819,7
Смирнов Артем Алексеевич,1821,1914,0
Сидоров Сергей Сергеевич,1826,1856,1
Петров Алексей Юрьевич,1926,1972,9
Фролов Владимир Алексеевич,1843,1916,0
Попов Артем Андреевич,1892,1992,5
Кузнецов Юрий Иванович,1907,2016,2
Попов Андрей Иванович,1891,2011,10
Новиков Петр Васильевич,1817,1859,7
Волков Сергей Васильевич,1832,1902,6
Петров Дмитрий Юрьевич,1889,1993,5
Фролов Алексей Федорович,1818,1831,10
Сидоров Артем Юрьевич,1914,1920,2
Иванов Андрей Юрьевич,1842,1956,0
Фролов Владимир Андреевич,1890,2001,13
Фролов Юрий Юрьевич,1804,1843,4
Кузнецов Владимир Дмитриевич,1810,1862,9
Петров Дмитрий Сергеевич,1978,2001,8
Лебедев Петр Сергеевич,1877,1947,14
Фролов Никита Юрьевич,1826,1983,6
Смирнов Никита Васильевич,1842,1893,11
Фролов Юрий Николаевич,1943,1960,13
Кузнецов Андрей Петрович,1926,1967,12
Попов Никита Юрьевич,1860,1877,13
Лебедев Артем Николаевич,1810,2020,5
Лебедев Петр Юрьевич,1854,2008,13
Фролов Владимир Юрьевич,1967,2002,5
Смирнов Андрей Сергеевич,1895,1994,9
